DATAFLOW,freq,thickness,unit,country_code,year,value,OBS_FLAG
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,AT,2018,11.0,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,AT,2019,7.8,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,AT,2020,0.2,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,BE,2018,18.4,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,BE,2019,10.8,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,BE,2020,7.0,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,BE,2021,4.4,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,CY,2018,137.4,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,CY,2019,63.5,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,CY,2020,72.5,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,CY,2021,73.2,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,CZ,2018,17.1,e
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,CZ,2019,12.2,e
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,CZ,2020,9.2,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,CZ,2021,8.3,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,DE,2018,12.0,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,DE,2019,10.6,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,DE,2020,8.1,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,DE,2021,5.4,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,EE,2018,58.3,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,EE,2019,52.3,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,EL,2018,60.0,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,EL,2019,45.3,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,ES,2018,89.9,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,ES,2019,52.4,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,ES,2020,58.6,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,ES,2021,29.1,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,FI,2018,67.3,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,FI,2019,59.6,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,FI,2020,53.0,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,FI,2021,54.6,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,FR,2020,20.9,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,HR,2020,19.1,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,HR,2021,25.8,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,HU,2018,89.8,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,HU,2019,66.2,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,HU,2020,56.3,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,HU,2021,74.6,b
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,IE,2018,6.0,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,IE,2019,5.0,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,IE,2020,3.2,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,IE,2021,3.0,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,LT,2018,52.9,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,LT,2019,51.7,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,LT,2020,44.1,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,LT,2021,43.2,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,LU,2018,36.2,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,LU,2019,22.7,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,LU,2020,20.8,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,LU,2021,20.7,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,LV,2018,81.8,e
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,LV,2019,71.1,e
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,LV,2020,57.3,e
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,LV,2021,47.7,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,SE,2018,77.4,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,SE,2019,74.1,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,SE,2020,54.8,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,SE,2021,13.7,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,SI,2018,14.5,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,SI,2019,11.6,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,SI,2020,10.8,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,SI,2021,12.9,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,SK,2018,16.7,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,SK,2019,13.2,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,SK,2020,16.4,
ESTAT:ENV_WASPCB(1.0),A,MCM15-49,NR_HAB,SK,2021,10.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,BE,2021,1.7,e
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,CY,2020,0.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,DE,2019,2.7,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,DE,2020,1.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,DE,2021,1.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,EL,2018,8.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,EL,2019,21.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,ES,2018,11.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,ES,2019,24.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,ES,2020,37.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,ES,2021,68.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,HR,2020,2.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,HR,2021,6.7,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,HU,2018,4.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,HU,2019,3.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,HU,2020,3.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,HU,2021,4.3,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,LV,2019,1.5,e
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,LV,2020,1.2,e
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,LV,2021,10.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,PL,2019,16.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,PL,2020,32.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,PL,2021,32.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,PT,2021,13.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,RO,2018,1.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,RO,2019,2.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SE,2018,6.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SE,2019,3.7,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SE,2020,2.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SE,2021,0.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SI,2018,5.1,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SI,2019,3.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SI,2020,1.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SI,2021,1.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SK,2018,7.7,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SK,2019,6.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SK,2020,3.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_GE50,NR_HAB,SK,2021,3.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,AT,2018,40.7,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,AT,2019,29.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,AT,2020,25.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,BE,2018,9.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,BE,2019,6.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,BE,2020,2.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,BE,2021,1.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,CY,2018,96.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,CY,2019,90.6,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,CY,2020,89.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,CY,2021,92.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,CZ,2018,185.4,e
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,CZ,2019,235.2,e
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,CZ,2020,242.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,CZ,2021,180.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,DE,2018,45.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,DE,2019,43.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,DE,2020,36.7,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,DE,2021,33.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,EE,2018,121.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,EE,2019,99.8,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,EL,2018,51.5,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,EL,2019,68.0,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,ES,2018,96.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,ES,2019,99.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,ES,2020,127.9,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,ES,2021,102.2,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,FI,2018,90.4,
ESTAT:ENV_WASPCB(1.0),A,MCM_LT15,NR_HAB,FI,2019,87.6,
