DATAFLOW,freq,indic_env,wst_oper,country_code,year,value,OBS_FLAG
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU27_2020,2006,37060000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU27_2020,2008,33650000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU27_2020,2010,27910000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU27_2020,2012,29530000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU27_2020,2014,24400000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU27_2020,2016,22110000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU27_2020,2018,20360000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU27_2020,2020,15290000.0,s
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU28,2004,32240000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU28,2006,46210000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU28,2008,42770000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU28,2010,35800000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU28,2012,37920000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU28,2014,34260000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU28,2016,30580000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,EU28,2018,32620000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,FI,2004,355000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,FI,2006,67000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,FI,2010,479000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,FI,2012,604665.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,FI,2014,604665.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,FI,2018,97603.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,NO,2004,725804.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,NO,2006,3000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,NO,2008,3000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,NO,2010,6000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,NO,2012,3000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,NO,2014,49900.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,NO,2016,68600.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,NO,2018,32600.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,NO,2020,255238.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,SE,2004,105.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,SE,2006,134249.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,SE,2008,88400.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,SE,2010,90110.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,SE,2012,75300.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,SE,2014,141750.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,SE,2016,260100.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,SE,2018,244069.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_I,SE,2020,86000.0,e
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,EU27_2020,2006,7470000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,EU27_2020,2008,12030000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,EU28,2004,3930000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,EU28,2006,7470000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,EU28,2008,12030000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,EU28,2012,,s
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,FI,2004,0.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,FI,2006,0.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,NO,2004,0.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,NO,2006,0.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,NO,2008,0.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,SE,2004,4123.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,SE,2006,888375.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_L_OTH,SE,2008,116000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,EU27_2020,2006,7470000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,EU27_2020,2008,12030000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,EU28,2004,3930000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,EU28,2006,7470000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,EU28,2008,12030000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,EU28,2012,,s
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,FI,2006,0.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,NO,2004,0.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,NO,2006,0.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,NO,2008,0.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,SE,2004,4123.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,SE,2006,888375.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,DSP_OTH,SE,2008,116000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,EU27_2020,2006,88970000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,EU27_2020,2008,77340000.0,
ESTAT:ENV_WASFAC(1.0),A,CAP,RCV_E,EU27_2020,2010,115390000.0,
