DATAFLOW,freq,waste,unit,country_code,year,value,OBS_FLAG
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,AT,2012,65.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,AT,2013,66.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,AT,2014,66.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,AT,2015,67.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,AT,2016,66.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,AT,2017,65.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,AT,2018,65.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,AT,2019,65.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,AT,2020,63.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,AT,2021,65.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BE,2012,80.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BE,2013,78.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BE,2014,81.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BE,2015,81.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BE,2016,81.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BE,2017,83.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BE,2018,85.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BE,2019,83.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BE,2020,79.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BE,2021,80.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BG,2012,66.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BG,2013,65.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BG,2014,62.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BG,2015,64.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BG,2016,63.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BG,2017,65.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BG,2018,60.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,BG,2019,61.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CY,2012,55.3,e
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CY,2013,56.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CY,2014,58.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CY,2015,59.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CY,2016,64.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CY,2017,66.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CY,2018,70.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CY,2019,66.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CY,2020,59.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CY,2021,63.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CZ,2012,69.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CZ,2013,69.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CZ,2014,73.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CZ,2015,74.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CZ,2016,75.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CZ,2017,72.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CZ,2018,69.6,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CZ,2019,71.2,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CZ,2020,67.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,CZ,2021,69.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DE,2012,71.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DE,2013,71.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DE,2014,71.4,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DE,2015,69.3,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DE,2016,70.7,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DE,2017,69.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DE,2018,68.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DE,2019,64.0,b
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DE,2020,68.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DE,2021,67.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DK,2012,61.6,e
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DK,2013,69.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DK,2014,69.8,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DK,2015,73.9,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DK,2016,79.0,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DK,2017,71.5,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DK,2018,70.1,
ESTAT:ENV_WASPACR(1.0),A,W1501,RT,DK,2019,70.4,
