DATAFLOW,freq,unit,hazard,wst_oper,waste_cat,country_code,year,value,OBS_FLAG
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,AL,2014,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,AT,2004,150206.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,AT,2006,79972.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,AT,2008,77201.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,AT,2010,67983.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,AT,2012,62905.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,AT,2014,,c
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,AT,2016,,c
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,AT,2018,,c
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,AT,2020,,c
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,BE,2004,193790.0,e
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,BE,2006,160202.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,BE,2008,155556.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,BE,2010,158400.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,BE,2012,186829.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,BE,2014,287112.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,BE,2016,258006.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,BE,2018,357688.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,BE,2020,141517.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,BG,2004,44984.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,BG,2006,81641.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,BG,2008,49759.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,BG,2010,1762.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,BG,2012,5352.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,BG,2014,7171.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,BG,2016,5259.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,BG,2018,3814.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,BG,2020,98152.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,CY,2004,2207.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,CY,2006,47.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,CY,2008,53.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,CY,2010,89.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,CY,2012,3.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,CY,2014,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,CY,2016,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,CY,2018,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,CY,2020,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,CZ,2004,30693.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,CZ,2006,49141.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,CZ,2008,61128.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,CZ,2010,49533.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,CZ,2012,71077.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,CZ,2014,73373.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,CZ,2016,77049.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,CZ,2018,87273.0,b
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,CZ,2020,81612.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DE,2004,1436474.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DE,2006,1351419.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DE,2008,1543961.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DE,2010,1128772.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DE,2012,1142653.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DE,2014,1263306.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DE,2016,1056183.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DE,2018,945280.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DE,2020,1040575.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DK,2004,93137.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DK,2006,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DK,2008,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DK,2010,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DK,2012,2701.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DK,2014,3293.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DK,2016,4109.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DK,2018,4386.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,DK,2020,939.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EE,2004,477.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EE,2006,40.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EE,2008,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EE,2010,0.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EE,2012,38.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EE,2014,20.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EE,2016,59.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EE,2018,43.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EE,2020,4.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EL,2004,27.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EL,2006,13404.0,
ESTAT:ENV_WASTRT(1.0),A,T,HAZ,DSP_I,TOTAL,EL,2008,4449.0,
