DATAFLOW,freq,unit,hazard,nace_r2,waste,country_code,year,value,OBS_FLAG
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,AT,2010,1156321.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,AT,2012,857778.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,AT,2014,1091488.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,AT,2016,1082752.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,AT,2018,1151354.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,AT,2020,1093078.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,BA,2012,945923.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,BA,2014,8657.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,BA,2016,13292.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,BA,2018,14162.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,BA,2020,9928.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,BE,2010,4324124.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,BE,2012,2638436.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,BE,2014,2644026.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,BE,2016,3427727.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,BE,2018,3504262.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,BE,2020,3400112.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,BG,2010,13538943.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,BG,2012,13401150.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,BG,2014,12131988.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,BG,2016,13317184.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,BG,2018,13426195.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,BG,2020,13901173.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,CY,2010,37028.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,CY,2012,31069.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,CY,2014,170405.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,CY,2016,157346.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,CY,2018,221229.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,CY,2020,29630.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,CZ,2010,1152963.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,CZ,2012,1215242.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,CZ,2014,1004403.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,CZ,2016,953147.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,CZ,2018,1460377.0,b
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,CZ,2020,1607729.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,DE,2010,16361916.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,DE,2012,17216816.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,DE,2014,17155359.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,DE,2016,18094350.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,DE,2018,19158533.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,DE,2020,18237740.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,DK,2010,1062860.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,DK,2012,994835.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,DK,2014,1443632.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,DK,2016,1842879.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,DK,2018,1962473.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,DK,2020,1169081.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,EE,2010,8932805.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,EE,2012,9121565.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,EE,2014,10376716.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,EE,2016,9650052.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,EE,2018,10843594.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,EE,2020,1571973.0,b
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,EL,2010,290534.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,EL,2012,296283.0,
ESTAT:ENV_WASGEN(1.0),A,T,HAZ,TOTAL_HH,PRIM,EL,2014,216228.0,
