,unit,year,value,value_name,location_name,location_type
0,%,2012,65.9,Recycling rate,Austria,country
1,%,2013,66.6,Recycling rate,Austria,country
2,%,2014,66.6,Recycling rate,Austria,country
3,%,2015,67.1,Recycling rate,Austria,country
4,%,2016,66.8,Recycling rate,Austria,country
5,%,2017,65.6,Recycling rate,Austria,country
6,%,2018,65.5,Recycling rate,Austria,country
7,%,2019,65.4,Recycling rate,Austria,country
8,%,2020,63.7,Recycling rate,Austria,country
9,%,2021,65.8,Recycling rate,Austria,country
10,%,2012,80.3,Recycling rate,Belgium,country
11,%,2013,78.7,Recycling rate,Belgium,country
12,%,2014,81.3,Recycling rate,Belgium,country
13,%,2015,81.5,Recycling rate,Belgium,country
14,%,2016,81.9,Recycling rate,Belgium,country
15,%,2017,83.8,Recycling rate,Belgium,country
16,%,2018,85.3,Recycling rate,Belgium,country
17,%,2019,83.5,Recycling rate,Belgium,country
18,%,2020,79.7,Recycling rate,Belgium,country
19,%,2021,80.4,Recycling rate,Belgium,country
20,%,2012,66.5,Recycling rate,Bulgaria,country
21,%,2013,65.7,Recycling rate,Bulgaria,country
22,%,2014,62.0,Recycling rate,Bulgaria,country
23,%,2015,64.1,Recycling rate,Bulgaria,country
24,%,2016,63.8,Recycling rate,Bulgaria,country
25,%,2017,65.6,Recycling rate,Bulgaria,country
26,%,2018,60.4,Recycling rate,Bulgaria,country
27,%,2019,61.2,Recycling rate,Bulgaria,country
28,%,2012,55.3,Recycling rate,Cyprus,country
29,%,2013,56.6,Recycling rate,Cyprus,country
30,%,2014,58.7,Recycling rate,Cyprus,country
31,%,2015,59.8,Recycling rate,Cyprus,country
32,%,2016,64.6,Recycling rate,Cyprus,country
33,%,2017,66.2,Recycling rate,Cyprus,country
34,%,2018,70.2,Recycling rate,Cyprus,country
35,%,2019,66.8,Recycling rate,Cyprus,country
36,%,2020,59.9,Recycling rate,Cyprus,country
37,%,2021,63.5,Recycling rate,Cyprus,country
38,%,2012,69.9,Recycling rate,Czech Republic,country
39,%,2013,69.9,Recycling rate,Czech Republic,country
40,%,2014,73.0,Recycling rate,Czech Republic,country
41,%,2015,74.3,Recycling rate,Czech Republic,country
42,%,2016,75.3,Recycling rate,Czech Republic,country
43,%,2017,72.3,Recycling rate,Czech Republic,country
44,%,2018,69.6,Recycling rate,Czech Republic,country
45,%,2019,71.2,Recycling rate,Czech Republic,country
46,%,2020,67.9,Recycling rate,Czech Republic,country
47,%,2021,69.1,Recycling rate,Czech Republic,country
48,%,2012,71.3,Recycling rate,Germany,country
49,%,2013,71.8,Recycling rate,Germany,country
50,%,2014,71.4,Recycling rate,Germany,country
51,%,2015,69.3,Recycling rate,Germany,country
52,%,2016,70.7,Recycling rate,Germany,country
53,%,2017,69.9,Recycling rate,Germany,country
54,%,2018,68.5,Recycling rate,Germany,country
55,%,2019,64.0,Recycling rate,Germany,country
56,%,2020,68.1,Recycling rate,Germany,country
57,%,2021,67.9,Recycling rate,Germany,country
58,%,2012,61.6,Recycling rate,Denmark,country
59,%,2013,69.8,Recycling rate,Denmark,country
60,%,2014,69.8,Recycling rate,Denmark,country
61,%,2015,73.9,Recycling rate,Denmark,country
62,%,2016,79.0,Recycling rate,Denmark,country
63,%,2017,71.5,Recycling rate,Denmark,country
64,%,2018,70.1,Recycling rate,Denmark,country
65,%,2019,70.4,Recycling rate,Denmark,country
66,%,2020,64.0,Recycling rate,Denmark,country
67,%,2012,61.3,Recycling rate,Estonia,country
68,%,2013,58.4,Recycling rate,Estonia,country
69,%,2014,60.3,Recycling rate,Estonia,country
70,%,2015,59.0,Recycling rate,Estonia,country
71,%,2016,56.0,Recycling rate,Estonia,country
72,%,2017,53.5,Recycling rate,Estonia,country
73,%,2018,60.4,Recycling rate,Estonia,country
74,%,2019,66.2,Recycling rate,Estonia,country
75,%,2020,71.4,Recycling rate,Estonia,country
76,%,2021,70.4,Recycling rate,Estonia,country
77,%,2012,58.6,Recycling rate,Greece,country
78,%,2013,52.4,Recycling rate,Greece,country
79,%,2014,53.8,Recycling rate,Greece,country
80,%,2015,60.3,Recycling rate,Greece,country
81,%,2016,66.1,Recycling rate,Greece,country
82,%,2017,68.6,Recycling rate,Greece,country
83,%,2018,63.6,Recycling rate,Greece,country
84,%,2019,60.1,Recycling rate,Greece,country
85,%,2012,65.5,Recycling rate,Spain,country
86,%,2013,66.6,Recycling rate,Spain,country
87,%,2014,68.7,Recycling rate,Spain,country
88,%,2015,68.4,Recycling rate,Spain,country
89,%,2016,70.3,Recycling rate,Spain,country
90,%,2017,68.5,Recycling rate,Spain,country
91,%,2018,68.8,Recycling rate,Spain,country
92,%,2019,69.6,Recycling rate,Spain,country
93,%,2020,68.3,Recycling rate,Spain,country
94,%,2021,70.1,Recycling rate,Spain,country
95,%,2012,65.2,Recycling rate,European Union (27),country
96,%,2013,65.4,Recycling rate,European Union (27),country
97,%,2014,66.5,Recycling rate,European Union (27),country
98,%,2015,66.6,Recycling rate,European Union (27),country
99,%,2016,67.6,Recycling rate,European Union (27),country
100,%,2017,67.5,Recycling rate,European Union (27),country
101,%,2018,65.6,Recycling rate,European Union (27),country
102,%,2019,64.8,Recycling rate,European Union (27),country
103,%,2020,64.0,Recycling rate,European Union (27),country
104,%,2021,64.0,Recycling rate,European Union (27),country
105,%,2012,59.3,Recycling rate,Finland,country
106,%,2013,58.0,Recycling rate,Finland,country
107,%,2014,57.4,Recycling rate,Finland,country
108,%,2015,60.9,Recycling rate,Finland,country
109,%,2016,64.7,Recycling rate,Finland,country
110,%,2017,65.2,Recycling rate,Finland,country
111,%,2018,70.2,Recycling rate,Finland,country
112,%,2019,70.6,Recycling rate,Finland,country
113,%,2020,73.2,Recycling rate,Finland,country
114,%,2021,72.5,Recycling rate,Finland,country
115,%,2012,64.9,Recycling rate,France,country
116,%,2013,66.4,Recycling rate,France,country
117,%,2014,65.2,Recycling rate,France,country
118,%,2015,65.5,Recycling rate,France,country
119,%,2016,66.0,Recycling rate,France,country
120,%,2017,68.1,Recycling rate,France,country
