,Code,Entity,Year,Exports of waste for recycling,unit
0,LTU,Lithuania,2004,4.722,tons (kg)
1,LTU,Lithuania,2005,7.395,tons (kg)
2,LTU,Lithuania,2006,9.781,tons (kg)
3,LTU,Lithuania,2007,15.487,tons (kg)
4,LTU,Lithuania,2008,16.304,tons (kg)
5,LTU,Lithuania,2009,11.85,tons (kg)
6,LTU,Lithuania,2010,10.003,tons (kg)
7,LTU,Lithuania,2011,13.2,tons (kg)
8,LTU,Lithuania,2012,17.506,tons (kg)
9,LTU,Lithuania,2013,19.372,tons (kg)
10,LTU,Lithuania,2014,24.23,tons (kg)
11,LTU,Lithuania,2015,27.904,tons (kg)
12,LTU,Lithuania,2016,28.272,tons (kg)
13,LTU,Lithuania,2017,33.137,tons (kg)
14,LTU,Lithuania,2018,34.333,tons (kg)
15,LTU,Lithuania,2019,33.824,tons (kg)
16,LTU,Lithuania,2020,29.179,tons (kg)
17,LTU,Lithuania,2021,39.322,tons (kg)
18,AUT,Austria,2004,68.86,tons (kg)
19,AUT,Austria,2005,82.854,tons (kg)
20,AUT,Austria,2006,99.768,tons (kg)
21,AUT,Austria,2007,90.987,tons (kg)
22,AUT,Austria,2008,89.834,tons (kg)
23,AUT,Austria,2009,105.721,tons (kg)
24,AUT,Austria,2010,103.785,tons (kg)
25,AUT,Austria,2011,135.836,tons (kg)
26,AUT,Austria,2012,171.935,tons (kg)
27,AUT,Austria,2013,174.927,tons (kg)
28,AUT,Austria,2014,185.318,tons (kg)
29,AUT,Austria,2015,151.499,tons (kg)
30,AUT,Austria,2016,151.225,tons (kg)
31,AUT,Austria,2017,162.902,tons (kg)
32,AUT,Austria,2018,180.535,tons (kg)
33,AUT,Austria,2019,192.787,tons (kg)
34,AUT,Austria,2020,180.881,tons (kg)
35,AUT,Austria,2021,170.726,tons (kg)
36,DNK,Denmark,2004,37.01,tons (kg)
37,DNK,Denmark,2005,40.356,tons (kg)
38,DNK,Denmark,2006,41.927,tons (kg)
39,DNK,Denmark,2007,48.397,tons (kg)
40,DNK,Denmark,2008,249.297,tons (kg)
41,DNK,Denmark,2009,80.357,tons (kg)
42,DNK,Denmark,2010,630.269,tons (kg)
43,DNK,Denmark,2011,404.06,tons (kg)
44,DNK,Denmark,2012,89.748,tons (kg)
45,DNK,Denmark,2013,72.811,tons (kg)
46,DNK,Denmark,2014,88.929,tons (kg)
47,DNK,Denmark,2015,103.515,tons (kg)
48,DNK,Denmark,2016,83.723,tons (kg)
49,DNK,Denmark,2017,89.867,tons (kg)
50,DNK,Denmark,2018,79.433,tons (kg)
51,DNK,Denmark,2019,67.039,tons (kg)
52,DNK,Denmark,2020,62.991,tons (kg)
53,DNK,Denmark,2021,63.327,tons (kg)
54,AUS,Australia,2018,158.7423,tons (kg)
55,AUS,Australia,2019,186.739,tons (kg)
56,AUS,Australia,2020,112.546,tons (kg)
57,AUS,Australia,2021,124.098,tons (kg)
58,ESP,Spain,2004,71.479,tons (kg)
59,ESP,Spain,2005,87.435,tons (kg)
60,ESP,Spain,2006,91.946,tons (kg)
61,ESP,Spain,2007,108.67,tons (kg)
62,ESP,Spain,2008,112.45,tons (kg)
63,ESP,Spain,2009,166.788,tons (kg)
64,ESP,Spain,2010,218.131,tons (kg)
65,ESP,Spain,2011,193.017,tons (kg)
66,ESP,Spain,2012,241.358,tons (kg)
67,ESP,Spain,2013,229.946,tons (kg)
68,ESP,Spain,2014,359.483,tons (kg)
69,ESP,Spain,2015,330.16,tons (kg)
70,ESP,Spain,2016,318.884,tons (kg)
71,ESP,Spain,2017,302.791,tons (kg)
72,ESP,Spain,2018,158.359,tons (kg)
73,ESP,Spain,2019,93.096,tons (kg)
74,ESP,Spain,2020,87.353,tons (kg)
75,ESP,Spain,2021,104.304,tons (kg)
76,NLD,Netherlands,2004,322.141,tons (kg)
77,NLD,Netherlands,2005,363.404,tons (kg)
78,NLD,Netherlands,2006,443.491,tons (kg)
79,NLD,Netherlands,2007,416.147,tons (kg)
80,NLD,Netherlands,2008,357.975,tons (kg)
81,NLD,Netherlands,2009,363.236,tons (kg)
82,NLD,Netherlands,2010,361.576,tons (kg)
83,NLD,Netherlands,2011,337.982,tons (kg)
84,NLD,Netherlands,2012,378.23,tons (kg)
85,NLD,Netherlands,2013,370.995,tons (kg)
86,NLD,Netherlands,2014,376.321,tons (kg)
87,NLD,Netherlands,2015,404.769,tons (kg)
88,NLD,Netherlands,2016,491.135,tons (kg)
89,NLD,Netherlands,2017,385.977,tons (kg)
90,NLD,Netherlands,2018,345.654,tons (kg)
91,NLD,Netherlands,2019,389.863,tons (kg)
92,NLD,Netherlands,2020,414.567,tons (kg)
93,NLD,Netherlands,2021,638.354,tons (kg)
94,SVN,Slovenia,2004,7.902,tons (kg)
95,SVN,Slovenia,2005,9.877001,tons (kg)
96,SVN,Slovenia,2006,14.308,tons (kg)
97,SVN,Slovenia,2007,15.909,tons (kg)
98,SVN,Slovenia,2008,25.562,tons (kg)
99,SVN,Slovenia,2009,36.952,tons (kg)
100,SVN,Slovenia,2010,49.875,tons (kg)
101,SVN,Slovenia,2011,42.885,tons (kg)
102,SVN,Slovenia,2012,106.082,tons (kg)
103,SVN,Slovenia,2013,125.341,tons (kg)
104,SVN,Slovenia,2014,191.481,tons (kg)
105,SVN,Slovenia,2015,172.321,tons (kg)
106,SVN,Slovenia,2016,180.414,tons (kg)
107,SVN,Slovenia,2017,154.225,tons (kg)
108,SVN,Slovenia,2018,147.671,tons (kg)
109,SVN,Slovenia,2019,161.938,tons (kg)
110,SVN,Slovenia,2020,208.184,tons (kg)
111,SVN,Slovenia,2021,130.129,tons (kg)
112,CZE,Czechia,2004,17.045,tons (kg)
113,CZE,Czechia,2005,21.995,tons (kg)
114,CZE,Czechia,2006,21.349,tons (kg)
115,CZE,Czechia,2007,29.592,tons (kg)
116,CZE,Czechia,2008,45.25,tons (kg)
117,CZE,Czechia,2009,74.285,tons (kg)
118,CZE,Czechia,2010,85.405,tons (kg)
119,CZE,Czechia,2011,93.489,tons (kg)
120,CZE,Czechia,2012,103.875,tons (kg)
121,CZE,Czechia,2013,110.56,tons (kg)
122,CZE,Czechia,2014,103.478,tons (kg)
123,CZE,Czechia,2015,102.252,tons (kg)
124,CZE,Czechia,2016,101.498,tons (kg)
125,CZE,Czechia,2017,101.554,tons (kg)
126,CZE,Czechia,2018,91.79,tons (kg)
127,CZE,Czechia,2019,88.63,tons (kg)
128,CZE,Czechia,2020,77.811,tons (kg)
129,CZE,Czechia,2021,68.782,tons (kg)
130,FRA,France,2004,365.947,tons (kg)
131,FRA,France,2005,412.366,tons (kg)
132,FRA,France,2006,381.057,tons (kg)
133,FRA,France,2007,378.525,tons (kg)
134,FRA,France,2008,388.094,tons (kg)
135,FRA,France,2009,431.035,tons (kg)
136,FRA,France,2010,480.053,tons (kg)
137,FRA,France,2011,502.362,tons (kg)
138,FRA,France,2012,506.968,tons (kg)
139,FRA,France,2013,454.212,tons (kg)
140,FRA,France,2014,484.288,tons (kg)
141,FRA,France,2015,469.385,tons (kg)
142,FRA,France,2016,484.999,tons (kg)
143,FRA,France,2017,458.565,tons (kg)
144,FRA,France,2018,409.091,tons (kg)
145,FRA,France,2019,385.634,tons (kg)
146,FRA,France,2020,334.608,tons (kg)
147,FRA,France,2021,341.612,tons (kg)
148,HUN,Hungary,2004,3.037,tons (kg)
149,HUN,Hungary,2005,4.046,tons (kg)
150,HUN,Hungary,2006,6.796,tons (kg)
151,HUN,Hungary,2007,7.45,tons (kg)
152,HUN,Hungary,2008,8.344,tons (kg)
153,HUN,Hungary,2009,11.488,tons (kg)
154,HUN,Hungary,2010,15.569,tons (kg)
155,HUN,Hungary,2011,27.306,tons (kg)
156,HUN,Hungary,2012,24.868,tons (kg)
157,HUN,Hungary,2013,18.749,tons (kg)
158,HUN,Hungary,2014,20.128,tons (kg)
159,HUN,Hungary,2015,20.332,tons (kg)
160,HUN,Hungary,2016,22.744,tons (kg)
161,HUN,Hungary,2017,30.429,tons (kg)
162,HUN,Hungary,2018,29.155,tons (kg)
163,HUN,Hungary,2019,26.976,tons (kg)
164,HUN,Hungary,2020,30.136,tons (kg)
165,HUN,Hungary,2021,40.48,tons (kg)
166,ITA,Italy,2004,104.098,tons (kg)
167,ITA,Italy,2005,110.42,tons (kg)
168,ITA,Italy,2006,101.85,tons (kg)
169,ITA,Italy,2007,113.943,tons (kg)
170,ITA,Italy,2008,139.916,tons (kg)
171,ITA,Italy,2009,212.417,tons (kg)
172,ITA,Italy,2010,263.95,tons (kg)
173,ITA,Italy,2011,269.601,tons (kg)
174,ITA,Italy,2012,228.019,tons (kg)
175,ITA,Italy,2013,191.621,tons (kg)
176,ITA,Italy,2014,175.859,tons (kg)
177,ITA,Italy,2015,223.076,tons (kg)
178,ITA,Italy,2016,234.207,tons (kg)
179,ITA,Italy,2017,260.522,tons (kg)
180,ITA,Italy,2018,213.201,tons (kg)
181,ITA,Italy,2019,206.109,tons (kg)
182,ITA,Italy,2020,217.149,tons (kg)
183,ITA,Italy,2021,187.216,tons (kg)
184,LVA,Latvia,2004,1.463,tons (kg)
185,LVA,Latvia,2005,3.434,tons (kg)
186,LVA,Latvia,2006,3.399,tons (kg)
187,LVA,Latvia,2007,4.351,tons (kg)
188,LVA,Latvia,2008,2.776,tons (kg)
189,LVA,Latvia,2009,6.698,tons (kg)
190,LVA,Latvia,2010,7.466,tons (kg)
191,LVA,Latvia,2011,11.335,tons (kg)
192,LVA,Latvia,2012,10.825,tons (kg)
193,LVA,Latvia,2013,10.048,tons (kg)
194,LVA,Latvia,2014,14.976,tons (kg)
195,LVA,Latvia,2015,10.55,tons (kg)
196,LVA,Latvia,2016,13.803,tons (kg)
197,LVA,Latvia,2017,13.189,tons (kg)
198,LVA,Latvia,2018,13.32,tons (kg)
199,LVA,Latvia,2019,15.777,tons (kg)
