,Code,Entity,Year,Imports of waste for recycling,unit
0,CZE,Czechia,2004,10.895,tons (kg)
1,CZE,Czechia,2005,18.593,tons (kg)
2,CZE,Czechia,2006,28.098,tons (kg)
3,CZE,Czechia,2007,40.882,tons (kg)
4,CZE,Czechia,2008,52.124,tons (kg)
5,CZE,Czechia,2009,48.105,tons (kg)
6,CZE,Czechia,2010,63.388,tons (kg)
7,CZE,Czechia,2011,77.89999,tons (kg)
8,CZE,Czechia,2012,96.952,tons (kg)
9,CZE,Czechia,2013,100.128,tons (kg)
10,CZE,Czechia,2014,106.278,tons (kg)
11,CZE,Czechia,2015,110.618,tons (kg)
12,CZE,Czechia,2016,108.642,tons (kg)
13,CZE,Czechia,2017,128.838,tons (kg)
14,CZE,Czechia,2018,179.07,tons (kg)
15,CZE,Czechia,2019,201.989,tons (kg)
16,CZE,Czechia,2020,210.515,tons (kg)
17,CZE,Czechia,2021,219.307,tons (kg)
18,LTU,Lithuania,2004,16.199,tons (kg)
19,LTU,Lithuania,2005,19.468,tons (kg)
20,LTU,Lithuania,2006,21.786,tons (kg)
21,LTU,Lithuania,2007,24.444,tons (kg)
22,LTU,Lithuania,2008,24.619,tons (kg)
23,LTU,Lithuania,2009,21.996,tons (kg)
24,LTU,Lithuania,2010,32.31,tons (kg)
25,LTU,Lithuania,2011,43.492,tons (kg)
26,LTU,Lithuania,2012,42.232,tons (kg)
27,LTU,Lithuania,2013,36.482,tons (kg)
28,LTU,Lithuania,2014,41.115,tons (kg)
29,LTU,Lithuania,2015,46.106,tons (kg)
30,LTU,Lithuania,2016,48.478,tons (kg)
31,LTU,Lithuania,2017,48.382,tons (kg)
32,LTU,Lithuania,2018,55.781,tons (kg)
33,LTU,Lithuania,2019,59.973,tons (kg)
34,LTU,Lithuania,2020,59.465,tons (kg)
35,LTU,Lithuania,2021,84.089,tons (kg)
36,LUX,Luxembourg,2004,28.995,tons (kg)
37,LUX,Luxembourg,2005,23.111,tons (kg)
38,LUX,Luxembourg,2006,22.803,tons (kg)
39,LUX,Luxembourg,2007,17.545,tons (kg)
40,LUX,Luxembourg,2008,16.223,tons (kg)
