,Code,Entity,Year,Manufacture of rubber and plastic products,unit
0,JPN,Japan,2000,18214.0,tons (kg)
1,JPN,Japan,2001,18176.0,tons (kg)
2,JPN,Japan,2002,18118.0,tons (kg)
3,JPN,Japan,2003,20758.0,tons (kg)
4,JPN,Japan,2004,18419.535,tons (kg)
5,JPN,Japan,2005,18261.7,tons (kg)
6,JPN,Japan,2006,18815.388,tons (kg)
7,JPN,Japan,2007,19269.0,tons (kg)
8,JPN,Japan,2008,15539.214,tons (kg)
9,JPN,Japan,2009,14513.995,tons (kg)
10,JPN,Japan,2010,15306.923,tons (kg)
11,JPN,Japan,2011,14718.0,tons (kg)
12,JPN,Japan,2012,13515.0,tons (kg)
13,JPN,Japan,2013,14080.0,tons (kg)
14,JPN,Japan,2014,13136.0,tons (kg)
15,JPN,Japan,2015,11137.0,tons (kg)
16,JPN,Japan,2016,10782.0,tons (kg)
17,JPN,Japan,2017,11307.0,tons (kg)
18,KOR,Korea,2010,3625.0,tons (kg)
19,KOR,Korea,2011,2661.0,tons (kg)
20,KOR,Korea,2012,2699.0,tons (kg)
21,KOR,Korea,2013,2923.0,tons (kg)
22,KOR,Korea,2014,2409.0,tons (kg)
23,KOR,Korea,2015,2715.0,tons (kg)
24,KOR,Korea,2016,2743.0,tons (kg)
25,KOR,Korea,2017,2957.904,tons (kg)
26,KOR,Korea,2018,3073.04,tons (kg)
27,KOR,Korea,2019,3397.6445,tons (kg)
28,KOR,Korea,2020,3383.299,tons (kg)
29,SWE,Sweden,2010,239.995,tons (kg)
30,SWE,Sweden,2012,240.049,tons (kg)
31,SWE,Sweden,2014,317.454,tons (kg)
32,SWE,Sweden,2018,331.618,tons (kg)
33,SWE,Sweden,2020,247.304,tons (kg)
34,ITA,Italy,2010,5791.913,tons (kg)
35,ITA,Italy,2012,2639.809,tons (kg)
36,ITA,Italy,2014,2959.062,tons (kg)
37,ITA,Italy,2016,3178.295,tons (kg)
38,ITA,Italy,2018,3235.905,tons (kg)
39,ITA,Italy,2020,3315.892,tons (kg)
40,LVA,Latvia,2010,87.647,tons (kg)
41,LVA,Latvia,2012,23.158,tons (kg)
42,LVA,Latvia,2014,7.993,tons (kg)
43,LVA,Latvia,2016,88.512,tons (kg)
44,LVA,Latvia,2018,101.947,tons (kg)
45,LVA,Latvia,2020,35.096,tons (kg)
46,LUX,Luxembourg,2010,23.393,tons (kg)
47,LUX,Luxembourg,2012,25.936,tons (kg)
48,LUX,Luxembourg,2014,36.651,tons (kg)
49,LUX,Luxembourg,2016,43.549,tons (kg)
50,LUX,Luxembourg,2018,46.281,tons (kg)
51,LUX,Luxembourg,2020,36.609,tons (kg)
52,TUR,Türkiye,2014,997.008,tons (kg)
53,TUR,Türkiye,2016,1129.286,tons (kg)
54,TUR,Türkiye,2020,4749.796,tons (kg)
55,EST,Estonia,2010,30.082,tons (kg)
56,EST,Estonia,2012,15.109,tons (kg)
57,EST,Estonia,2014,16.686,tons (kg)
58,EST,Estonia,2016,17.553,tons (kg)
59,EST,Estonia,2018,19.47,tons (kg)
60,EST,Estonia,2020,22.078,tons (kg)
61,IRL,Ireland,2010,306.123,tons (kg)
62,IRL,Ireland,2012,274.478,tons (kg)
63,IRL,Ireland,2014,412.186,tons (kg)
64,IRL,Ireland,2016,221.868,tons (kg)
65,IRL,Ireland,2018,228.65,tons (kg)
66,IRL,Ireland,2020,399.978,tons (kg)
67,AUT,Austria,2010,368.994,tons (kg)
68,AUT,Austria,2012,224.111,tons (kg)
69,AUT,Austria,2014,324.663,tons (kg)
70,AUT,Austria,2018,348.977,tons (kg)
71,AUT,Austria,2020,316.669,tons (kg)
72,BEL,Belgium,2010,2153.301,tons (kg)
73,BEL,Belgium,2012,2062.011,tons (kg)
74,BEL,Belgium,2014,1409.416,tons (kg)
75,BEL,Belgium,2016,1665.085,tons (kg)
76,BEL,Belgium,2018,2142.158,tons (kg)
77,BEL,Belgium,2020,1414.475,tons (kg)
78,DNK,Denmark,2010,159.055,tons (kg)
79,DNK,Denmark,2012,165.451,tons (kg)
80,DNK,Denmark,2014,101.941,tons (kg)
81,DNK,Denmark,2016,126.926,tons (kg)
82,DNK,Denmark,2018,157.02,tons (kg)
83,DNK,Denmark,2020,188.526,tons (kg)
84,ESP,Spain,2010,1989.209,tons (kg)
85,ESP,Spain,2012,1019.309,tons (kg)
86,ESP,Spain,2014,995.97,tons (kg)
87,ESP,Spain,2016,1058.626,tons (kg)
88,ESP,Spain,2018,1003.238,tons (kg)
89,ESP,Spain,2020,1082.801,tons (kg)
90,ISL,Iceland,2010,5.777,tons (kg)
91,ISL,Iceland,2012,6.037,tons (kg)
92,ISL,Iceland,2014,3.484,tons (kg)
93,ISL,Iceland,2016,4.333,tons (kg)
94,ISL,Iceland,2018,4.913,tons (kg)
95,ISL,Iceland,2020,4.26,tons (kg)
96,LTU,Lithuania,2010,2125.768,tons (kg)
97,LTU,Lithuania,2012,2036.585,tons (kg)
98,LTU,Lithuania,2014,2163.85,tons (kg)
99,LTU,Lithuania,2016,2238.503,tons (kg)
100,LTU,Lithuania,2018,2233.176,tons (kg)
101,LTU,Lithuania,2020,1761.323,tons (kg)
102,PRT,Portugal,2010,181.038,tons (kg)
103,PRT,Portugal,2012,180.994,tons (kg)
104,PRT,Portugal,2014,146.041,tons (kg)
105,PRT,Portugal,2016,218.175,tons (kg)
106,PRT,Portugal,2018,267.898,tons (kg)
107,PRT,Portugal,2020,217.683,tons (kg)
108,GBR,United Kingdom,2010,2843.437,tons (kg)
