,oecd_code,oecd_name,year,plastic collected for recycling,unit
0,OAM,Other OECD America,1990,0.14,million tons (kg)
1,OAM,Other OECD America,1991,0.16,million tons (kg)
2,OAM,Other OECD America,1992,0.183,million tons (kg)
3,OAM,Other OECD America,1993,0.207,million tons (kg)
4,OAM,Other OECD America,1994,0.236,million tons (kg)
5,OAM,Other OECD America,1995,0.263,million tons (kg)
6,OAM,Other OECD America,1996,0.294,million tons (kg)
7,OAM,Other OECD America,1997,0.33,million tons (kg)
8,OAM,Other OECD America,1998,0.366,million tons (kg)
9,OAM,Other OECD America,1999,0.408,million tons (kg)
10,OAM,Other OECD America,2000,0.452,million tons (kg)
11,OAM,Other OECD America,2001,0.492,million tons (kg)
12,OAM,Other OECD America,2002,0.542,million tons (kg)
13,OAM,Other OECD America,2003,0.592,million tons (kg)
14,OAM,Other OECD America,2004,0.648,million tons (kg)
15,OAM,Other OECD America,2005,0.699,million tons (kg)
16,OAM,Other OECD America,2006,0.761,million tons (kg)
17,OAM,Other OECD America,2007,0.827,million tons (kg)
18,OAM,Other OECD America,2008,0.861,million tons (kg)
19,OAM,Other OECD America,2009,0.915,million tons (kg)
20,OAM,Other OECD America,2010,0.995,million tons (kg)
21,OAM,Other OECD America,2011,1.061,million tons (kg)
22,OAM,Other OECD America,2012,1.119,million tons (kg)
23,OAM,Other OECD America,2013,1.188,million tons (kg)
24,OAM,Other OECD America,2014,1.233,million tons (kg)
25,OAM,Other OECD America,2015,1.361,million tons (kg)
26,OAM,Other OECD America,2016,1.431,million tons (kg)
27,OAM,Other OECD America,2017,1.498,million tons (kg)
28,OAM,Other OECD America,2018,1.603,million tons (kg)
29,OAM,Other OECD America,2019,1.684,million tons (kg)
30,O22,OECD EU ,1990,0.183,million tons (kg)
31,O22,OECD EU ,1991,0.382,million tons (kg)
32,O22,OECD EU ,1992,0.6,million tons (kg)
33,O22,OECD EU ,1993,0.83,million tons (kg)
34,O22,OECD EU ,1994,1.094,million tons (kg)
35,O22,OECD EU ,1995,1.358,million tons (kg)
36,O22,OECD EU ,1996,1.655,million tons (kg)
37,O22,OECD EU ,1997,1.984,million tons (kg)
38,O22,OECD EU ,1998,2.319,million tons (kg)
39,O22,OECD EU ,1999,2.702,million tons (kg)
40,O22,OECD EU ,2000,3.098,million tons (kg)
41,O22,OECD EU ,2001,3.479,million tons (kg)
42,O22,OECD EU ,2002,3.927,million tons (kg)
43,O22,OECD EU ,2003,4.375,million tons (kg)
44,O22,OECD EU ,2004,4.868,million tons (kg)
45,O22,OECD EU ,2005,5.326,million tons (kg)
46,O22,OECD EU ,2006,5.853,million tons (kg)
47,O22,OECD EU ,2007,6.405,million tons (kg)
48,O22,OECD EU ,2008,6.734,million tons (kg)
49,O22,OECD EU ,2009,7.195,million tons (kg)
50,O22,OECD EU ,2010,7.832,million tons (kg)
51,O22,OECD EU ,2011,8.364,million tons (kg)
52,O22,OECD EU ,2012,8.866,million tons (kg)
53,O22,OECD EU ,2013,9.421,million tons (kg)
54,O22,OECD EU ,2014,9.86,million tons (kg)
55,O22,OECD EU ,2015,10.395,million tons (kg)
56,O22,OECD EU ,2016,10.922,million tons (kg)
57,O22,OECD EU ,2017,11.56,million tons (kg)
58,O22,OECD EU ,2018,12.216,million tons (kg)
59,O22,OECD EU ,2019,12.767,million tons (kg)
60,OE6,OECD Non-EU ,1990,0.024,million tons (kg)
61,OE6,OECD Non-EU ,1991,0.051,million tons (kg)
62,OE6,OECD Non-EU ,1992,0.08,million tons (kg)
63,OE6,OECD Non-EU ,1993,0.112,million tons (kg)
64,OE6,OECD Non-EU ,1994,0.149,million tons (kg)
65,OE6,OECD Non-EU ,1995,0.186,million tons (kg)
66,OE6,OECD Non-EU ,1996,0.228,million tons (kg)
67,OE6,OECD Non-EU ,1997,0.276,million tons (kg)
68,OE6,OECD Non-EU ,1998,0.325,million tons (kg)
69,OE6,OECD Non-EU ,1999,0.383,million tons (kg)
70,OE6,OECD Non-EU ,2000,0.442,million tons (kg)
71,OE6,OECD Non-EU ,2001,0.501,million tons (kg)
72,OE6,OECD Non-EU ,2002,0.571,million tons (kg)
73,OE6,OECD Non-EU ,2003,0.642,million tons (kg)
74,OE6,OECD Non-EU ,2004,0.722,million tons (kg)
75,OE6,OECD Non-EU ,2005,0.798,million tons (kg)
76,OE6,OECD Non-EU ,2006,0.886,million tons (kg)
77,OE6,OECD Non-EU ,2007,0.98,million tons (kg)
78,OE6,OECD Non-EU ,2008,1.041,million tons (kg)
79,OE6,OECD Non-EU ,2009,1.124,million tons (kg)
80,OE6,OECD Non-EU ,2010,1.239,million tons (kg)
81,OE6,OECD Non-EU ,2011,1.337,million tons (kg)
82,OE6,OECD Non-EU ,2012,1.439,million tons (kg)
83,OE6,OECD Non-EU ,2013,1.554,million tons (kg)
84,OE6,OECD Non-EU ,2014,1.647,million tons (kg)
85,OE6,OECD Non-EU ,2015,1.76,million tons (kg)
86,OE6,OECD Non-EU ,2016,1.881,million tons (kg)
87,OE6,OECD Non-EU ,2017,2.026,million tons (kg)
88,OE6,OECD Non-EU ,2018,2.166,million tons (kg)
89,OE6,OECD Non-EU ,2019,2.292,million tons (kg)
90,OPA,OECD Asia,1990,0.022,million tons (kg)
91,OPA,OECD Asia,1991,0.046,million tons (kg)
92,OPA,OECD Asia,1992,0.073,million tons (kg)
93,OPA,OECD Asia,1993,0.102,million tons (kg)
94,OPA,OECD Asia,1994,0.137,million tons (kg)
95,OPA,OECD Asia,1995,0.173,million tons (kg)
96,OPA,OECD Asia,1996,0.214,million tons (kg)
97,OPA,OECD Asia,1997,0.261,million tons (kg)
98,OPA,OECD Asia,1998,0.311,million tons (kg)
99,OPA,OECD Asia,1999,0.369,million tons (kg)
100,OPA,OECD Asia,2000,0.43,million tons (kg)
101,OPA,OECD Asia,2001,0.492,million tons (kg)
102,OPA,OECD Asia,2002,0.566,million tons (kg)
103,OPA,OECD Asia,2003,0.642,million tons (kg)
104,OPA,OECD Asia,2004,0.728,million tons (kg)
105,OPA,OECD Asia,2005,0.811,million tons (kg)
106,OPA,OECD Asia,2006,0.91,million tons (kg)
107,OPA,OECD Asia,2007,1.015,million tons (kg)
108,OPA,OECD Asia,2008,1.086,million tons (kg)
109,OPA,OECD Asia,2009,1.183,million tons (kg)
110,OPA,OECD Asia,2010,1.314,million tons (kg)
111,OPA,OECD Asia,2011,1.442,million tons (kg)
112,OPA,OECD Asia,2012,1.556,million tons (kg)
113,OPA,OECD Asia,2013,1.689,million tons (kg)
114,OPA,OECD Asia,2014,1.812,million tons (kg)
115,OPA,OECD Asia,2015,1.962,million tons (kg)
116,OPA,OECD Asia,2016,2.09,million tons (kg)
117,OPA,OECD Asia,2017,2.238,million tons (kg)
118,OPA,OECD Asia,2018,2.459,million tons (kg)
119,OPA,OECD Asia,2019,2.592,million tons (kg)
120,OCE,OECD Oceania,1990,0.004,million tons (kg)
121,OCE,OECD Oceania,1991,0.005,million tons (kg)
122,OCE,OECD Oceania,1992,0.006,million tons (kg)
123,OCE,OECD Oceania,1993,0.007,million tons (kg)
124,OCE,OECD Oceania,1994,0.009,million tons (kg)
125,OCE,OECD Oceania,1995,0.011,million tons (kg)
126,OCE,OECD Oceania,1996,0.013,million tons (kg)
127,OCE,OECD Oceania,1997,0.015,million tons (kg)
128,OCE,OECD Oceania,1998,0.018,million tons (kg)
129,OCE,OECD Oceania,1999,0.021,million tons (kg)
130,OCE,OECD Oceania,2000,0.025,million tons (kg)
131,OCE,OECD Oceania,2001,0.029,million tons (kg)
132,OCE,OECD Oceania,2002,0.033,million tons (kg)
133,OCE,OECD Oceania,2003,0.038,million tons (kg)
134,OCE,OECD Oceania,2004,0.044,million tons (kg)
135,OCE,OECD Oceania,2005,0.05,million tons (kg)
136,OCE,OECD Oceania,2006,0.057,million tons (kg)
137,OCE,OECD Oceania,2007,0.064,million tons (kg)
138,OCE,OECD Oceania,2008,0.071,million tons (kg)
139,OCE,OECD Oceania,2009,0.08,million tons (kg)
140,OCE,OECD Oceania,2010,0.09,million tons (kg)
141,OCE,OECD Oceania,2011,0.101,million tons (kg)
142,OCE,OECD Oceania,2012,0.11,million tons (kg)
143,OCE,OECD Oceania,2013,0.124,million tons (kg)
144,OCE,OECD Oceania,2014,0.136,million tons (kg)
145,OCE,OECD Oceania,2015,0.15,million tons (kg)
146,OCE,OECD Oceania,2016,0.165,million tons (kg)
