,Code,Entity,Year,Waste incinerated with energy recovery,unit
0,DEU,Germany,2010,304.122,tons (kg)
1,DEU,Germany,2012,435.955,tons (kg)
2,DEU,Germany,2014,505.751,tons (kg)
3,DEU,Germany,2016,488.25,tons (kg)
4,DEU,Germany,2018,523.953,tons (kg)
5,DEU,Germany,2020,564.898,tons (kg)
6,NOR,Norway,2010,36.604,tons (kg)
7,NOR,Norway,2012,83.801,tons (kg)
8,NOR,Norway,2014,129.214,tons (kg)
9,NOR,Norway,2016,123.736,tons (kg)
10,NOR,Norway,2018,144.635,tons (kg)
11,NOR,Norway,2020,70.268,tons (kg)
12,GRC,Greece,2010,0.0,tons (kg)
13,GRC,Greece,2012,0.601,tons (kg)
14,GRC,Greece,2014,0.783,tons (kg)
15,GRC,Greece,2016,0.803,tons (kg)
16,GRC,Greece,2018,0.0,tons (kg)
17,GRC,Greece,2020,0.919,tons (kg)
18,NLD,Netherlands,2010,86.61,tons (kg)
19,NLD,Netherlands,2012,86.34,tons (kg)
20,NLD,Netherlands,2014,45.66,tons (kg)
21,NLD,Netherlands,2016,13.617,tons (kg)
22,NLD,Netherlands,2018,111.484,tons (kg)
23,NLD,Netherlands,2020,121.611,tons (kg)
24,POL,Poland,2010,17.675,tons (kg)
25,POL,Poland,2012,9.312,tons (kg)
26,POL,Poland,2014,15.84,tons (kg)
27,POL,Poland,2016,41.821,tons (kg)
28,POL,Poland,2018,74.36,tons (kg)
29,POL,Poland,2020,85.944,tons (kg)
30,FRA,France,2010,750.0,tons (kg)
31,FRA,France,2012,776.211,tons (kg)
32,FRA,France,2014,800.377,tons (kg)
33,FRA,France,2016,842.86,tons (kg)
34,FRA,France,2018,1014.475,tons (kg)
35,FRA,France,2020,1214.522,tons (kg)
36,AUT,Austria,2010,126.192,tons (kg)
37,AUT,Austria,2012,39.845,tons (kg)
38,DNK,Denmark,2010,1.275,tons (kg)
39,DNK,Denmark,2012,5.31,tons (kg)
40,DNK,Denmark,2014,3.514,tons (kg)
41,DNK,Denmark,2016,2.357,tons (kg)
42,DNK,Denmark,2018,5.486,tons (kg)
43,DNK,Denmark,2020,11.136,tons (kg)
44,IRL,Ireland,2010,0.0,tons (kg)
45,IRL,Ireland,2012,0.013,tons (kg)
46,IRL,Ireland,2014,0.0,tons (kg)
47,IRL,Ireland,2016,0.029,tons (kg)
48,IRL,Ireland,2018,0.258,tons (kg)
49,LUX,Luxembourg,2010,22.225,tons (kg)
50,LUX,Luxembourg,2012,6.0,tons (kg)
51,LUX,Luxembourg,2014,4.87,tons (kg)
52,LUX,Luxembourg,2016,0.073,tons (kg)
53,LUX,Luxembourg,2018,8.626,tons (kg)
54,LUX,Luxembourg,2020,5.245,tons (kg)
55,SVK,Slovak Republic,2010,2.756,tons (kg)
56,SVK,Slovak Republic,2012,1.01,tons (kg)
57,SVK,Slovak Republic,2014,1.214,tons (kg)
58,SVK,Slovak Republic,2016,0.454,tons (kg)
59,SVK,Slovak Republic,2018,1.289,tons (kg)
