,Entity,Code,Year,Annual plastic production,unit
0,World,OWID_WRL,1950,2000000,million tons (kg)
1,World,OWID_WRL,1951,2000000,million tons (kg)
2,World,OWID_WRL,1952,2000000,million tons (kg)
3,World,OWID_WRL,1953,3000000,million tons (kg)
4,World,OWID_WRL,1954,3000000,million tons (kg)
5,World,OWID_WRL,1955,4000000,million tons (kg)
6,World,OWID_WRL,1956,5000000,million tons (kg)
7,World,OWID_WRL,1957,5000000,million tons (kg)
8,World,OWID_WRL,1958,6000000,million tons (kg)
9,World,OWID_WRL,1959,7000000,million tons (kg)
10,World,OWID_WRL,1960,8000000,million tons (kg)
11,World,OWID_WRL,1961,9000000,million tons (kg)
12,World,OWID_WRL,1962,11000000,million tons (kg)
13,World,OWID_WRL,1963,13000000,million tons (kg)
14,World,OWID_WRL,1964,15000000,million tons (kg)
15,World,OWID_WRL,1965,17000000,million tons (kg)
16,World,OWID_WRL,1966,20000000,million tons (kg)
17,World,OWID_WRL,1967,23000000,million tons (kg)
18,World,OWID_WRL,1968,27000000,million tons (kg)
19,World,OWID_WRL,1969,32000000,million tons (kg)
20,World,OWID_WRL,1970,35000000,million tons (kg)
21,World,OWID_WRL,1971,38000000,million tons (kg)
22,World,OWID_WRL,1972,44000000,million tons (kg)
23,World,OWID_WRL,1973,51000000,million tons (kg)
24,World,OWID_WRL,1975,46000000,million tons (kg)
25,World,OWID_WRL,1976,54000000,million tons (kg)
26,World,OWID_WRL,1977,59000000,million tons (kg)
27,World,OWID_WRL,1978,64000000,million tons (kg)
28,World,OWID_WRL,1979,71000000,million tons (kg)
29,World,OWID_WRL,1980,70000000,million tons (kg)
30,World,OWID_WRL,1981,72000000,million tons (kg)
31,World,OWID_WRL,1982,73000000,million tons (kg)
32,World,OWID_WRL,1983,80000000,million tons (kg)
33,World,OWID_WRL,1984,86000000,million tons (kg)
34,World,OWID_WRL,1985,90000000,million tons (kg)
35,World,OWID_WRL,1986,96000000,million tons (kg)
36,World,OWID_WRL,1987,104000000,million tons (kg)
37,World,OWID_WRL,1988,110000000,million tons (kg)
38,World,OWID_WRL,1989,114000000,million tons (kg)
39,World,OWID_WRL,1990,120000000,million tons (kg)
40,World,OWID_WRL,1991,124000000,million tons (kg)
41,World,OWID_WRL,1992,132000000,million tons (kg)
42,World,OWID_WRL,1993,137000000,million tons (kg)
43,World,OWID_WRL,1994,151000000,million tons (kg)
44,World,OWID_WRL,1995,156000000,million tons (kg)
45,World,OWID_WRL,1996,168000000,million tons (kg)
46,World,OWID_WRL,1997,180000000,million tons (kg)
47,World,OWID_WRL,1998,188000000,million tons (kg)
48,World,OWID_WRL,1999,202000000,million tons (kg)
49,World,OWID_WRL,2000,213000000,million tons (kg)
50,World,OWID_WRL,2001,218000000,million tons (kg)
51,World,OWID_WRL,2002,231000000,million tons (kg)
52,World,OWID_WRL,2003,241000000,million tons (kg)
53,World,OWID_WRL,2004,256000000,million tons (kg)
54,World,OWID_WRL,2005,263000000,million tons (kg)
55,World,OWID_WRL,2006,280000000,million tons (kg)
56,World,OWID_WRL,2007,295000000,million tons (kg)
57,World,OWID_WRL,2008,281000000,million tons (kg)
58,World,OWID_WRL,2009,288000000,million tons (kg)
59,World,OWID_WRL,2010,313000000,million tons (kg)
60,World,OWID_WRL,2011,325000000,million tons (kg)
61,World,OWID_WRL,2012,338000000,million tons (kg)
62,World,OWID_WRL,2013,352000000,million tons (kg)
63,World,OWID_WRL,2014,367000000,million tons (kg)
64,World,OWID_WRL,2015,381000000,million tons (kg)
65,World,OWID_WRL,2016,400050000,million tons (kg)
66,World,OWID_WRL,2017,420052500,million tons (kg)
67,World,OWID_WRL,2018,441055140,million tons (kg)
68,World,OWID_WRL,2019,459746020,million tons (kg)
