,Entity,Code,Year,Share of waste incinerated from total regional waste,unit
0,Americas (excl. USA),,2000,1.2200574,%
1,Americas (excl. USA),,2001,1.2086724,%
2,Americas (excl. USA),,2002,1.1975662,%
3,Americas (excl. USA),,2003,1.186352,%
4,Americas (excl. USA),,2004,1.1752826,%
5,Americas (excl. USA),,2005,1.1643187,%
6,Americas (excl. USA),,2006,1.1536299,%
7,Americas (excl. USA),,2007,1.1429298,%
8,Americas (excl. USA),,2008,1.1313322,%
9,Americas (excl. USA),,2009,1.1201167,%
10,Americas (excl. USA),,2010,1.1110171,%
11,Americas (excl. USA),,2011,1.1020877,%
12,Americas (excl. USA),,2012,1.0941856,%
13,Americas (excl. USA),,2013,1.0871824,%
14,Americas (excl. USA),,2014,1.0832841,%
15,Americas (excl. USA),,2015,1.0632468,%
16,Americas (excl. USA),,2016,1.0594409,%
17,Americas (excl. USA),,2017,1.0606065,%
18,Americas (excl. USA),,2018,1.0537329,%
19,Americas (excl. USA),,2019,1.1592599,%
20,Asia (excl. China and India),,2000,10.439383,%
21,Asia (excl. China and India),,2001,10.978967,%
22,Asia (excl. China and India),,2002,11.516974,%
23,Asia (excl. China and India),,2003,12.036433,%
24,Asia (excl. China and India),,2004,12.546595,%
25,Asia (excl. China and India),,2005,13.035166,%
26,Asia (excl. China and India),,2006,13.520215,%
27,Asia (excl. China and India),,2007,13.991865,%
28,Asia (excl. China and India),,2008,14.406246,%
29,Asia (excl. China and India),,2009,14.830825,%
30,Asia (excl. China and India),,2010,15.259308,%
31,Asia (excl. China and India),,2011,15.73903,%
32,Asia (excl. China and India),,2012,16.145636,%
33,Asia (excl. China and India),,2013,16.596796,%
34,Asia (excl. China and India),,2014,16.968782,%
35,Asia (excl. China and India),,2015,17.335096,%
36,Asia (excl. China and India),,2016,17.633564,%
37,Asia (excl. China and India),,2017,17.935818,%
38,Asia (excl. China and India),,2018,18.53463,%
39,Asia (excl. China and India),,2019,18.513683,%
40,China,CHN,2000,8.821573,%
41,China,CHN,2001,9.609698,%
42,China,CHN,2002,10.40487,%
43,China,CHN,2003,11.204407,%
44,China,CHN,2004,12.010195,%
45,China,CHN,2005,12.820913,%
46,China,CHN,2006,13.638992,%
47,China,CHN,2007,14.462739,%
48,China,CHN,2008,15.287558,%
49,China,CHN,2009,16.121347,%
50,China,CHN,2010,16.963223,%
51,China,CHN,2011,17.809065,%
52,China,CHN,2012,18.663284,%
53,China,CHN,2013,19.526173,%
54,China,CHN,2014,20.402584,%
55,China,CHN,2015,21.266891,%
56,China,CHN,2016,22.14718,%
57,China,CHN,2017,23.042185,%
58,China,CHN,2018,23.932241,%
59,China,CHN,2019,23.762764,%
60,Europe,,2000,14.542094,%
61,Europe,,2001,15.765712,%
62,Europe,,2002,17.00034,%
63,Europe,,2003,18.240551,%
64,Europe,,2004,19.489176,%
65,Europe,,2005,20.743938,%
66,Europe,,2006,22.009491,%
67,Europe,,2007,23.282541,%
68,Europe,,2008,24.552296,%
69,Europe,,2009,25.83552,%
70,Europe,,2010,27.131308,%
71,Europe,,2011,28.428936,%
72,Europe,,2012,29.726812,%
73,Europe,,2013,31.043758,%
74,Europe,,2014,32.365795,%
75,Europe,,2015,33.69418,%
76,Europe,,2016,35.048588,%
77,Europe,,2017,36.413742,%
