,oecd_code,oecd_name,year,plastic leakage from mismanaged and littered waste,unit
0,OAM,Other OECD America,1990,0.233,million tons (kg)
1,OAM,Other OECD America,1991,0.242,million tons (kg)
2,OAM,Other OECD America,1992,0.253,million tons (kg)
3,OAM,Other OECD America,1993,0.262,million tons (kg)
4,OAM,Other OECD America,1994,0.276,million tons (kg)
5,OAM,Other OECD America,1995,0.286,million tons (kg)
6,OAM,Other OECD America,1996,0.298,million tons (kg)
7,OAM,Other OECD America,1997,0.313,million tons (kg)
8,OAM,Other OECD America,1998,0.325,million tons (kg)
9,OAM,Other OECD America,1999,0.341,million tons (kg)
10,OAM,Other OECD America,2000,0.355,million tons (kg)
11,OAM,Other OECD America,2001,0.365,million tons (kg)
12,OAM,Other OECD America,2002,0.381,million tons (kg)
13,OAM,Other OECD America,2003,0.394,million tons (kg)
14,OAM,Other OECD America,2004,0.41,million tons (kg)
15,OAM,Other OECD America,2005,0.421,million tons (kg)
16,OAM,Other OECD America,2006,0.436,million tons (kg)
17,OAM,Other OECD America,2007,0.452,million tons (kg)
18,OAM,Other OECD America,2008,0.449,million tons (kg)
19,OAM,Other OECD America,2009,0.456,million tons (kg)
20,OAM,Other OECD America,2010,0.475,million tons (kg)
21,OAM,Other OECD America,2011,0.484,million tons (kg)
22,OAM,Other OECD America,2012,0.489,million tons (kg)
23,OAM,Other OECD America,2013,0.498,million tons (kg)
24,OAM,Other OECD America,2014,0.497,million tons (kg)
25,OAM,Other OECD America,2015,0.526,million tons (kg)
26,OAM,Other OECD America,2016,0.531,million tons (kg)
27,OAM,Other OECD America,2017,0.535,million tons (kg)
28,OAM,Other OECD America,2018,0.55,million tons (kg)
29,OAM,Other OECD America,2019,0.554,million tons (kg)
30,O22,OECD EU ,1990,0.794,million tons (kg)
31,O22,OECD EU ,1991,0.807,million tons (kg)
32,O22,OECD EU ,1992,0.824,million tons (kg)
33,O22,OECD EU ,1993,0.834,million tons (kg)
34,O22,OECD EU ,1994,0.858,million tons (kg)
35,O22,OECD EU ,1995,0.865,million tons (kg)
36,O22,OECD EU ,1996,0.88,million tons (kg)
37,O22,OECD EU ,1997,0.898,million tons (kg)
38,O22,OECD EU ,1998,0.907,million tons (kg)
39,O22,OECD EU ,1999,0.923,million tons (kg)
40,O22,OECD EU ,2000,0.933,million tons (kg)
41,O22,OECD EU ,2001,0.93,million tons (kg)
42,O22,OECD EU ,2002,0.937,million tons (kg)
43,O22,OECD EU ,2003,0.936,million tons (kg)
44,O22,OECD EU ,2004,0.937,million tons (kg)
45,O22,OECD EU ,2005,0.925,million tons (kg)
46,O22,OECD EU ,2006,0.919,million tons (kg)
47,O22,OECD EU ,2007,0.911,million tons (kg)
48,O22,OECD EU ,2008,0.867,million tons (kg)
49,O22,OECD EU ,2009,0.84,million tons (kg)
50,O22,OECD EU ,2010,0.828,million tons (kg)
51,O22,OECD EU ,2011,0.801,million tons (kg)
52,O22,OECD EU ,2012,0.767,million tons (kg)
53,O22,OECD EU ,2013,0.736,million tons (kg)
54,O22,OECD EU ,2014,0.692,million tons (kg)
55,O22,OECD EU ,2015,0.656,million tons (kg)
56,O22,OECD EU ,2016,0.618,million tons (kg)
57,O22,OECD EU ,2017,0.582,million tons (kg)
58,O22,OECD EU ,2018,0.544,million tons (kg)
59,O22,OECD EU ,2019,0.538,million tons (kg)
60,OE6,OECD Non-EU,1990,0.216,million tons (kg)
61,OE6,OECD Non-EU,1991,0.222,million tons (kg)
62,OE6,OECD Non-EU,1992,0.229,million tons (kg)
63,OE6,OECD Non-EU,1993,0.235,million tons (kg)
64,OE6,OECD Non-EU,1994,0.245,million tons (kg)
65,OE6,OECD Non-EU,1995,0.25,million tons (kg)
66,OE6,OECD Non-EU,1996,0.258,million tons (kg)
67,OE6,OECD Non-EU,1997,0.268,million tons (kg)
68,OE6,OECD Non-EU,1998,0.274,million tons (kg)
69,OE6,OECD Non-EU,1999,0.284,million tons (kg)
70,OE6,OECD Non-EU,2000,0.292,million tons (kg)
71,OE6,OECD Non-EU,2001,0.296,million tons (kg)
72,OE6,OECD Non-EU,2002,0.304,million tons (kg)
73,OE6,OECD Non-EU,2003,0.31,million tons (kg)
74,OE6,OECD Non-EU,2004,0.317,million tons (kg)
75,OE6,OECD Non-EU,2005,0.32,million tons (kg)
76,OE6,OECD Non-EU,2006,0.326,million tons (kg)
77,OE6,OECD Non-EU,2007,0.331,million tons (kg)
78,OE6,OECD Non-EU,2008,0.324,million tons (kg)
79,OE6,OECD Non-EU,2009,0.323,million tons (kg)
80,OE6,OECD Non-EU,2010,0.328,million tons (kg)
81,OE6,OECD Non-EU,2011,0.328,million tons (kg)
82,OE6,OECD Non-EU,2012,0.327,million tons (kg)
83,OE6,OECD Non-EU,2013,0.327,million tons (kg)
84,OE6,OECD Non-EU,2014,0.321,million tons (kg)
85,OE6,OECD Non-EU,2015,0.318,million tons (kg)
86,OE6,OECD Non-EU,2016,0.314,million tons (kg)
87,OE6,OECD Non-EU,2017,0.314,million tons (kg)
88,OE6,OECD Non-EU,2018,0.311,million tons (kg)
89,OE6,OECD Non-EU,2019,0.312,million tons (kg)
90,OPA,OECD Asia,1990,0.126,million tons (kg)
91,OPA,OECD Asia,1991,0.129,million tons (kg)
92,OPA,OECD Asia,1992,0.133,million tons (kg)
93,OPA,OECD Asia,1993,0.136,million tons (kg)
94,OPA,OECD Asia,1994,0.141,million tons (kg)
95,OPA,OECD Asia,1995,0.144,million tons (kg)
96,OPA,OECD Asia,1996,0.148,million tons (kg)
97,OPA,OECD Asia,1997,0.153,million tons (kg)
98,OPA,OECD Asia,1998,0.156,million tons (kg)
99,OPA,OECD Asia,1999,0.16,million tons (kg)
100,OPA,OECD Asia,2000,0.163,million tons (kg)
101,OPA,OECD Asia,2001,0.164,million tons (kg)
102,OPA,OECD Asia,2002,0.166,million tons (kg)
103,OPA,OECD Asia,2003,0.168,million tons (kg)
104,OPA,OECD Asia,2004,0.169,million tons (kg)
105,OPA,OECD Asia,2005,0.168,million tons (kg)
106,OPA,OECD Asia,2006,0.168,million tons (kg)
107,OPA,OECD Asia,2007,0.167,million tons (kg)
108,OPA,OECD Asia,2008,0.159,million tons (kg)
109,OPA,OECD Asia,2009,0.153,million tons (kg)
110,OPA,OECD Asia,2010,0.151,million tons (kg)
111,OPA,OECD Asia,2011,0.146,million tons (kg)
112,OPA,OECD Asia,2012,0.138,million tons (kg)
113,OPA,OECD Asia,2013,0.131,million tons (kg)
114,OPA,OECD Asia,2014,0.121,million tons (kg)
115,OPA,OECD Asia,2015,0.112,million tons (kg)
116,OPA,OECD Asia,2016,0.1,million tons (kg)
117,OPA,OECD Asia,2017,0.088,million tons (kg)
118,OPA,OECD Asia,2018,0.077,million tons (kg)
119,OPA,OECD Asia,2019,0.078,million tons (kg)
120,OCE,OECD Oceania,1990,0.004,million tons (kg)
121,OCE,OECD Oceania,1991,0.005,million tons (kg)
122,OCE,OECD Oceania,1992,0.005,million tons (kg)
123,OCE,OECD Oceania,1993,0.006,million tons (kg)
124,OCE,OECD Oceania,1994,0.007,million tons (kg)
125,OCE,OECD Oceania,1995,0.007,million tons (kg)
126,OCE,OECD Oceania,1996,0.008,million tons (kg)
127,OCE,OECD Oceania,1997,0.009,million tons (kg)
128,OCE,OECD Oceania,1998,0.009,million tons (kg)
129,OCE,OECD Oceania,1999,0.01,million tons (kg)
130,OCE,OECD Oceania,2000,0.011,million tons (kg)
131,OCE,OECD Oceania,2001,0.012,million tons (kg)
132,OCE,OECD Oceania,2002,0.013,million tons (kg)
133,OCE,OECD Oceania,2003,0.014,million tons (kg)
134,OCE,OECD Oceania,2004,0.015,million tons (kg)
135,OCE,OECD Oceania,2005,0.016,million tons (kg)
136,OCE,OECD Oceania,2006,0.017,million tons (kg)
137,OCE,OECD Oceania,2007,0.018,million tons (kg)
138,OCE,OECD Oceania,2008,0.018,million tons (kg)
139,OCE,OECD Oceania,2009,0.019,million tons (kg)
140,OCE,OECD Oceania,2010,0.02,million tons (kg)
141,OCE,OECD Oceania,2011,0.021,million tons (kg)
142,OCE,OECD Oceania,2012,0.022,million tons (kg)
143,OCE,OECD Oceania,2013,0.023,million tons (kg)
144,OCE,OECD Oceania,2014,0.024,million tons (kg)
145,OCE,OECD Oceania,2015,0.025,million tons (kg)
146,OCE,OECD Oceania,2016,0.026,million tons (kg)
147,OCE,OECD Oceania,2017,0.027,million tons (kg)
148,OCE,OECD Oceania,2018,0.027,million tons (kg)
149,OCE,OECD Oceania,2019,0.028,million tons (kg)
150,LAM,Latin America,1990,0.308,million tons (kg)
151,LAM,Latin America,1991,0.336,million tons (kg)
152,LAM,Latin America,1992,0.369,million tons (kg)
153,LAM,Latin America,1993,0.4,million tons (kg)
154,LAM,Latin America,1994,0.443,million tons (kg)
155,LAM,Latin America,1995,0.479,million tons (kg)
156,LAM,Latin America,1996,0.523,million tons (kg)
157,LAM,Latin America,1997,0.574,million tons (kg)
158,LAM,Latin America,1998,0.621,million tons (kg)
159,LAM,Latin America,1999,0.679,million tons (kg)
160,LAM,Latin America,2000,0.736,million tons (kg)
161,LAM,Latin America,2001,0.786,million tons (kg)
162,LAM,Latin America,2002,0.85,million tons (kg)
163,LAM,Latin America,2003,0.912,million tons (kg)
164,LAM,Latin America,2004,0.983,million tons (kg)
165,LAM,Latin America,2005,1.043,million tons (kg)
166,LAM,Latin America,2006,1.118,million tons (kg)
167,LAM,Latin America,2007,1.198,million tons (kg)
168,LAM,Latin America,2008,1.224,million tons (kg)
169,LAM,Latin America,2009,1.281,million tons (kg)
170,LAM,Latin America,2010,1.369,million tons (kg)
171,LAM,Latin America,2011,1.432,million tons (kg)
172,LAM,Latin America,2012,1.486,million tons (kg)
173,LAM,Latin America,2013,1.547,million tons (kg)
174,LAM,Latin America,2014,1.593,million tons (kg)
175,LAM,Latin America,2015,1.676,million tons (kg)
176,LAM,Latin America,2016,1.69,million tons (kg)
177,LAM,Latin America,2017,1.722,million tons (kg)
178,LAM,Latin America,2018,1.763,million tons (kg)
179,LAM,Latin America,2019,1.807,million tons (kg)
180,EU5,Other EU,1990,0.036,million tons (kg)
181,EU5,Other EU,1991,0.037,million tons (kg)
182,EU5,Other EU,1992,0.038,million tons (kg)
183,EU5,Other EU,1993,0.04,million tons (kg)
184,EU5,Other EU,1994,0.041,million tons (kg)
185,EU5,Other EU,1995,0.042,million tons (kg)
186,EU5,Other EU,1996,0.044,million tons (kg)
187,EU5,Other EU,1997,0.046,million tons (kg)
188,EU5,Other EU,1998,0.047,million tons (kg)
189,EU5,Other EU,1999,0.049,million tons (kg)
190,EU5,Other EU,2000,0.051,million tons (kg)
191,EU5,Other EU,2001,0.052,million tons (kg)
192,EU5,Other EU,2002,0.054,million tons (kg)
193,EU5,Other EU,2003,0.055,million tons (kg)
194,EU5,Other EU,2004,0.057,million tons (kg)
195,EU5,Other EU,2005,0.058,million tons (kg)
196,EU5,Other EU,2006,0.059,million tons (kg)
197,EU5,Other EU,2007,0.061,million tons (kg)
198,EU5,Other EU,2008,0.061,million tons (kg)
199,EU5,Other EU,2009,0.061,million tons (kg)
200,EU5,Other EU,2010,0.063,million tons (kg)
201,EU5,Other EU,2011,0.064,million tons (kg)
202,EU5,Other EU,2012,0.064,million tons (kg)
203,EU5,Other EU,2013,0.065,million tons (kg)
204,EU5,Other EU,2014,0.065,million tons (kg)
205,EU5,Other EU,2015,0.066,million tons (kg)
206,EU5,Other EU,2016,0.066,million tons (kg)
207,EU5,Other EU,2017,0.067,million tons (kg)
208,EU5,Other EU,2018,0.068,million tons (kg)
209,EU5,Other EU,2019,0.068,million tons (kg)
210,RAN,Other Eurasia,1990,0.272,million tons (kg)
211,RAN,Other Eurasia,1991,0.29,million tons (kg)
212,RAN,Other Eurasia,1992,0.311,million tons (kg)
213,RAN,Other Eurasia,1993,0.33,million tons (kg)
214,RAN,Other Eurasia,1994,0.356,million tons (kg)
215,RAN,Other Eurasia,1995,0.378,million tons (kg)
216,RAN,Other Eurasia,1996,0.405,million tons (kg)
217,RAN,Other Eurasia,1997,0.437,million tons (kg)
218,RAN,Other Eurasia,1998,0.466,million tons (kg)
219,RAN,Other Eurasia,1999,0.502,million tons (kg)
220,RAN,Other Eurasia,2000,0.538,million tons (kg)
221,RAN,Other Eurasia,2001,0.57,million tons (kg)
222,RAN,Other Eurasia,2002,0.611,million tons (kg)
223,RAN,Other Eurasia,2003,0.65,million tons (kg)
224,RAN,Other Eurasia,2004,0.695,million tons (kg)
225,RAN,Other Eurasia,2005,0.734,million tons (kg)
226,RAN,Other Eurasia,2006,0.782,million tons (kg)
227,RAN,Other Eurasia,2007,0.834,million tons (kg)
228,RAN,Other Eurasia,2008,0.86,million tons (kg)
229,RAN,Other Eurasia,2009,0.902,million tons (kg)
230,RAN,Other Eurasia,2010,0.963,million tons (kg)
231,RAN,Other Eurasia,2011,1.013,million tons (kg)
232,RAN,Other Eurasia,2012,1.058,million tons (kg)
233,RAN,Other Eurasia,2013,1.107,million tons (kg)
234,RAN,Other Eurasia,2014,1.151,million tons (kg)
235,RAN,Other Eurasia,2015,1.21,million tons (kg)
236,RAN,Other Eurasia,2016,1.262,million tons (kg)
237,RAN,Other Eurasia,2017,1.318,million tons (kg)
238,RAN,Other Eurasia,2018,1.364,million tons (kg)
239,RAN,Other Eurasia,2019,1.39,million tons (kg)
240,MEN,Middle East & North Africa,1990,0.374,million tons (kg)
241,MEN,Middle East & North Africa,1991,0.393,million tons (kg)
242,MEN,Middle East & North Africa,1992,0.416,million tons (kg)
243,MEN,Middle East & North Africa,1993,0.437,million tons (kg)
244,MEN,Middle East & North Africa,1994,0.466,million tons (kg)
245,MEN,Middle East & North Africa,1995,0.489,million tons (kg)
246,MEN,Middle East & North Africa,1996,0.518,million tons (kg)
247,MEN,Middle East & North Africa,1997,0.551,million tons (kg)
248,MEN,Middle East & North Africa,1998,0.58,million tons (kg)
249,MEN,Middle East & North Africa,1999,0.618,million tons (kg)
250,MEN,Middle East & North Africa,2000,0.654,million tons (kg)
251,MEN,Middle East & North Africa,2001,0.683,million tons (kg)
252,MEN,Middle East & North Africa,2002,0.723,million tons (kg)
253,MEN,Middle East & North Africa,2003,0.76,million tons (kg)
254,MEN,Middle East & North Africa,2004,0.802,million tons (kg)
255,MEN,Middle East & North Africa,2005,0.836,million tons (kg)
256,MEN,Middle East & North Africa,2006,0.879,million tons (kg)
257,MEN,Middle East & North Africa,2007,0.924,million tons (kg)
258,MEN,Middle East & North Africa,2008,0.936,million tons (kg)
259,MEN,Middle East & North Africa,2009,0.967,million tons (kg)
260,MEN,Middle East & North Africa,2010,1.023,million tons (kg)
261,MEN,Middle East & North Africa,2011,1.062,million tons (kg)
262,MEN,Middle East & North Africa,2012,1.098,million tons (kg)
263,MEN,Middle East & North Africa,2013,1.137,million tons (kg)
264,MEN,Middle East & North Africa,2014,1.173,million tons (kg)
265,MEN,Middle East & North Africa,2015,1.212,million tons (kg)
266,MEN,Middle East & North Africa,2016,1.282,million tons (kg)
267,MEN,Middle East & North Africa,2017,1.329,million tons (kg)
268,MEN,Middle East & North Africa,2018,1.363,million tons (kg)
269,MEN,Middle East & North Africa,2019,1.398,million tons (kg)
270,OAF,Other Africa,1990,0.451,million tons (kg)
271,OAF,Other Africa,1991,0.494,million tons (kg)
272,OAF,Other Africa,1992,0.546,million tons (kg)
273,OAF,Other Africa,1993,0.597,million tons (kg)
274,OAF,Other Africa,1994,0.665,million tons (kg)
275,OAF,Other Africa,1995,0.724,million tons (kg)
276,OAF,Other Africa,1996,0.796,million tons (kg)
277,OAF,Other Africa,1997,0.879,million tons (kg)
278,OAF,Other Africa,1998,0.957,million tons (kg)
279,OAF,Other Africa,1999,1.053,million tons (kg)
280,OAF,Other Africa,2000,1.149,million tons (kg)
281,OAF,Other Africa,2001,1.233,million tons (kg)
282,OAF,Other Africa,2002,1.344,million tons (kg)
283,OAF,Other Africa,2003,1.451,million tons (kg)
284,OAF,Other Africa,2004,1.574,million tons (kg)
285,OAF,Other Africa,2005,1.68,million tons (kg)
286,OAF,Other Africa,2006,1.815,million tons (kg)
287,OAF,Other Africa,2007,1.958,million tons (kg)
288,OAF,Other Africa,2008,2.011,million tons (kg)
289,OAF,Other Africa,2009,2.119,million tons (kg)
290,OAF,Other Africa,2010,2.286,million tons (kg)
291,OAF,Other Africa,2011,2.413,million tons (kg)
292,OAF,Other Africa,2012,2.527,million tons (kg)
293,OAF,Other Africa,2013,2.651,million tons (kg)
294,OAF,Other Africa,2014,2.755,million tons (kg)
295,OAF,Other Africa,2015,2.909,million tons (kg)
296,OAF,Other Africa,2016,2.983,million tons (kg)
297,OAF,Other Africa,2017,3.066,million tons (kg)
298,OAF,Other Africa,2018,3.168,million tons (kg)
299,OAF,Other Africa,2019,3.259,million tons (kg)
300,ODA,Other non-OECD Asia,1990,0.253,million tons (kg)
301,ODA,Other non-OECD Asia,1991,0.287,million tons (kg)
302,ODA,Other non-OECD Asia,1992,0.327,million tons (kg)
303,ODA,Other non-OECD Asia,1993,0.368,million tons (kg)
304,ODA,Other non-OECD Asia,1994,0.42,million tons (kg)
305,ODA,Other non-OECD Asia,1995,0.468,million tons (kg)
306,ODA,Other non-OECD Asia,1996,0.525,million tons (kg)
307,ODA,Other non-OECD Asia,1997,0.591,million tons (kg)
308,ODA,Other non-OECD Asia,1998,0.655,million tons (kg)
309,ODA,Other non-OECD Asia,1999,0.731,million tons (kg)
310,ODA,Other non-OECD Asia,2000,0.808,million tons (kg)
311,ODA,Other non-OECD Asia,2001,0.88,million tons (kg)
312,ODA,Other non-OECD Asia,2002,0.969,million tons (kg)
313,ODA,Other non-OECD Asia,2003,1.056,million tons (kg)
314,ODA,Other non-OECD Asia,2004,1.154,million tons (kg)
315,ODA,Other non-OECD Asia,2005,1.243,million tons (kg)
316,ODA,Other non-OECD Asia,2006,1.349,million tons (kg)
317,ODA,Other non-OECD Asia,2007,1.461,million tons (kg)
318,ODA,Other non-OECD Asia,2008,1.522,million tons (kg)
319,ODA,Other non-OECD Asia,2009,1.616,million tons (kg)
320,ODA,Other non-OECD Asia,2010,1.756,million tons (kg)
321,ODA,Other non-OECD Asia,2011,1.872,million tons (kg)
322,ODA,Other non-OECD Asia,2012,1.974,million tons (kg)
323,ODA,Other non-OECD Asia,2013,2.095,million tons (kg)
324,ODA,Other non-OECD Asia,2014,2.213,million tons (kg)
325,ODA,Other non-OECD Asia,2015,2.356,million tons (kg)
326,ODA,Other non-OECD Asia,2016,2.478,million tons (kg)
327,ODA,Other non-OECD Asia,2017,2.639,million tons (kg)
328,ODA,Other non-OECD Asia,2018,2.834,million tons (kg)
329,ODA,Other non-OECD Asia,2019,2.884,million tons (kg)
330,USA1,United States,1990,0.675,million tons (kg)
331,USA1,United States,1991,0.687,million tons (kg)
332,USA1,United States,1992,0.702,million tons (kg)
333,USA1,United States,1993,0.711,million tons (kg)
334,USA1,United States,1994,0.732,million tons (kg)
335,USA1,United States,1995,0.739,million tons (kg)
336,USA1,United States,1996,0.752,million tons (kg)
337,USA1,United States,1997,0.768,million tons (kg)
338,USA1,United States,1998,0.777,million tons (kg)
339,USA1,United States,1999,0.793,million tons (kg)
340,USA1,United States,2000,0.804,million tons (kg)
341,USA1,United States,2001,0.804,million tons (kg)
342,USA1,United States,2002,0.814,million tons (kg)
343,USA1,United States,2003,0.817,million tons (kg)
344,USA1,United States,2004,0.822,million tons (kg)
345,USA1,United States,2005,0.816,million tons (kg)
346,USA1,United States,2006,0.817,million tons (kg)
347,USA1,United States,2007,0.816,million tons (kg)
348,USA1,United States,2008,0.784,million tons (kg)
349,USA1,United States,2009,0.767,million tons (kg)
350,USA1,United States,2010,0.765,million tons (kg)
351,USA1,United States,2011,0.749,million tons (kg)
352,USA1,United States,2012,0.728,million tons (kg)
353,USA1,United States,2013,0.706,million tons (kg)
354,USA1,United States,2014,0.679,million tons (kg)
355,USA1,United States,2015,0.654,million tons (kg)
356,USA1,United States,2016,0.637,million tons (kg)
357,USA1,United States,2017,0.609,million tons (kg)
358,USA1,United States,2018,0.585,million tons (kg)
359,USA1,United States,2019,0.556,million tons (kg)
360,CAN1,Canada,1990,0.085,million tons (kg)
361,CAN1,Canada,1991,0.087,million tons (kg)
362,CAN1,Canada,1992,0.089,million tons (kg)
363,CAN1,Canada,1993,0.091,million tons (kg)
364,CAN1,Canada,1994,0.095,million tons (kg)
365,CAN1,Canada,1995,0.096,million tons (kg)
366,CAN1,Canada,1996,0.099,million tons (kg)
367,CAN1,Canada,1997,0.102,million tons (kg)
368,CAN1,Canada,1998,0.104,million tons (kg)
369,CAN1,Canada,1999,0.107,million tons (kg)
370,CAN1,Canada,2000,0.109,million tons (kg)
371,CAN1,Canada,2001,0.11,million tons (kg)
372,CAN1,Canada,2002,0.113,million tons (kg)
373,CAN1,Canada,2003,0.114,million tons (kg)
374,CAN1,Canada,2004,0.117,million tons (kg)
375,CAN1,Canada,2005,0.117,million tons (kg)
376,CAN1,Canada,2006,0.119,million tons (kg)
377,CAN1,Canada,2007,0.12,million tons (kg)
378,CAN1,Canada,2008,0.117,million tons (kg)
379,CAN1,Canada,2009,0.116,million tons (kg)
380,CAN1,Canada,2010,0.118,million tons (kg)
381,CAN1,Canada,2011,0.117,million tons (kg)
382,CAN1,Canada,2012,0.116,million tons (kg)
383,CAN1,Canada,2013,0.115,million tons (kg)
384,CAN1,Canada,2014,0.113,million tons (kg)
385,CAN1,Canada,2015,0.112,million tons (kg)
386,CAN1,Canada,2016,0.109,million tons (kg)
387,CAN1,Canada,2017,0.108,million tons (kg)
388,CAN1,Canada,2018,0.106,million tons (kg)
389,CAN1,Canada,2019,0.105,million tons (kg)
390,CHN1,China,1990,0.936,million tons (kg)
391,CHN1,China,1991,1.053,million tons (kg)
392,CHN1,China,1992,1.186,million tons (kg)
393,CHN1,China,1993,1.314,million tons (kg)
394,CHN1,China,1994,1.481,million tons (kg)
395,CHN1,China,1995,1.624,million tons (kg)
396,CHN1,China,1996,1.792,million tons (kg)
397,CHN1,China,1997,1.98,million tons (kg)
398,CHN1,China,1998,2.152,million tons (kg)
399,CHN1,China,1999,2.357,million tons (kg)
400,CHN1,China,2000,2.554,million tons (kg)
401,CHN1,China,2001,2.718,million tons (kg)
402,CHN1,China,2002,2.928,million tons (kg)
403,CHN1,China,2003,3.12,million tons (kg)
404,CHN1,China,2004,3.332,million tons (kg)
405,CHN1,China,2005,3.497,million tons (kg)
406,CHN1,China,2006,3.702,million tons (kg)
407,CHN1,China,2007,3.907,million tons (kg)
408,CHN1,China,2008,3.932,million tons (kg)
409,CHN1,China,2009,4.042,million tons (kg)
410,CHN1,China,2010,4.256,million tons (kg)
411,CHN1,China,2011,4.391,million tons (kg)
412,CHN1,China,2012,4.458,million tons (kg)
413,CHN1,China,2013,4.486,million tons (kg)
414,CHN1,China,2014,4.559,million tons (kg)
415,CHN1,China,2015,4.544,million tons (kg)
416,CHN1,China,2016,4.477,million tons (kg)
417,CHN1,China,2017,4.397,million tons (kg)
418,CHN1,China,2018,4.169,million tons (kg)
419,CHN1,China,2019,4.271,million tons (kg)
420,IND1,India,1990,0.154,million tons (kg)
421,IND1,India,1991,0.179,million tons (kg)
422,IND1,India,1992,0.208,million tons (kg)
423,IND1,India,1993,0.237,million tons (kg)
424,IND1,India,1994,0.273,million tons (kg)
425,IND1,India,1995,0.307,million tons (kg)
426,IND1,India,1996,0.346,million tons (kg)
427,IND1,India,1997,0.39,million tons (kg)
428,IND1,India,1998,0.434,million tons (kg)
429,IND1,India,1999,0.485,million tons (kg)
430,IND1,India,2000,0.536,million tons (kg)
431,IND1,India,2001,0.584,million tons (kg)
432,IND1,India,2002,0.642,million tons (kg)
433,IND1,India,2003,0.699,million tons (kg)
434,IND1,India,2004,0.762,million tons (kg)
435,IND1,India,2005,0.818,million tons (kg)
436,IND1,India,2006,0.885,million tons (kg)
437,IND1,India,2007,0.955,million tons (kg)
438,IND1,India,2008,0.989,million tons (kg)
439,IND1,India,2009,1.044,million tons (kg)
440,IND1,India,2010,1.146,million tons (kg)
441,IND1,India,2011,1.239,million tons (kg)
442,IND1,India,2012,1.324,million tons (kg)
443,IND1,India,2013,1.42,million tons (kg)
444,IND1,India,2014,1.515,million tons (kg)
445,IND1,India,2015,1.582,million tons (kg)
446,IND1,India,2016,1.673,million tons (kg)
447,IND1,India,2017,1.767,million tons (kg)
448,IND1,India,2018,1.853,million tons (kg)
449,IND1,India,2019,1.929,million tons (kg)
