,oecd_code,oecd_name,year,plastic use,unit
0,OAM,Other OECD America,1990,4.8443,million tons (kg)
1,OAM,Other OECD America,1991,4.9913,million tons (kg)
2,OAM,Other OECD America,1992,5.2719,million tons (kg)
3,OAM,Other OECD America,1993,5.4536,million tons (kg)
4,OAM,Other OECD America,1994,5.9444,million tons (kg)
5,OAM,Other OECD America,1995,6.1295,million tons (kg)
6,OAM,Other OECD America,1996,6.5263,million tons (kg)
7,OAM,Other OECD America,1997,6.9609,million tons (kg)
8,OAM,Other OECD America,1998,7.226,million tons (kg)
9,OAM,Other OECD America,1999,7.7145,million tons (kg)
10,OAM,Other OECD America,2000,8.0605,million tons (kg)
11,OAM,Other OECD America,2001,8.1962,million tons (kg)
12,OAM,Other OECD America,2002,8.6565,million tons (kg)
13,OAM,Other OECD America,2003,8.9493,million tons (kg)
14,OAM,Other OECD America,2004,9.4476,million tons (kg)
15,OAM,Other OECD America,2005,9.6422,million tons (kg)
16,OAM,Other OECD America,2006,10.1731,million tons (kg)
17,OAM,Other OECD America,2007,10.6604,million tons (kg)
18,OAM,Other OECD America,2008,10.0797,million tons (kg)
19,OAM,Other OECD America,2009,10.2571,million tons (kg)
20,OAM,Other OECD America,2010,11.0207,million tons (kg)
21,OAM,Other OECD America,2011,11.3493,million tons (kg)
22,OAM,Other OECD America,2012,11.6574,million tons (kg)
23,OAM,Other OECD America,2013,12.0298,million tons (kg)
24,OAM,Other OECD America,2014,12.1154,million tons (kg)
25,OAM,Other OECD America,2015,12.393,million tons (kg)
26,OAM,Other OECD America,2016,12.4843,million tons (kg)
27,OAM,Other OECD America,2017,12.5225,million tons (kg)
28,OAM,Other OECD America,2018,12.8097,million tons (kg)
29,OAM,Other OECD America,2019,13.1231,million tons (kg)
30,O22,OECD EU ,1990,32.8194,million tons (kg)
31,O22,OECD EU ,1991,33.4454,million tons (kg)
32,O22,OECD EU ,1992,34.9293,million tons (kg)
33,O22,OECD EU ,1993,35.7164,million tons (kg)
34,O22,OECD EU ,1994,38.4694,million tons (kg)
35,O22,OECD EU ,1995,39.1844,million tons (kg)
36,O22,OECD EU ,1996,41.1993,million tons (kg)
37,O22,OECD EU ,1997,43.3769,million tons (kg)
38,O22,OECD EU ,1998,44.4327,million tons (kg)
39,O22,OECD EU ,1999,46.7901,million tons (kg)
40,O22,OECD EU ,2000,48.2022,million tons (kg)
41,O22,OECD EU ,2001,48.3047,million tons (kg)
42,O22,OECD EU ,2002,50.2569,million tons (kg)
43,O22,OECD EU ,2003,51.1577,million tons (kg)
44,O22,OECD EU ,2004,53.1486,million tons (kg)
45,O22,OECD EU ,2005,53.3543,million tons (kg)
46,O22,OECD EU ,2006,55.3383,million tons (kg)
47,O22,OECD EU ,2007,56.9738,million tons (kg)
48,O22,OECD EU ,2008,52.8945,million tons (kg)
49,O22,OECD EU ,2009,52.8157,million tons (kg)
50,O22,OECD EU ,2010,55.7507,million tons (kg)
51,O22,OECD EU ,2011,56.3662,million tons (kg)
52,O22,OECD EU ,2012,56.7996,million tons (kg)
53,O22,OECD EU ,2013,57.4599,million tons (kg)
54,O22,OECD EU ,2014,56.6822,million tons (kg)
55,O22,OECD EU ,2015,56.774,million tons (kg)
56,O22,OECD EU ,2016,58.4043,million tons (kg)
57,O22,OECD EU ,2017,60.7629,million tons (kg)
58,O22,OECD EU ,2018,62.4055,million tons (kg)
59,O22,OECD EU ,2019,63.6734,million tons (kg)
60,OE6,OECD Non-EU,1990,8.1322,million tons (kg)
61,OE6,OECD Non-EU,1991,8.3541,million tons (kg)
62,OE6,OECD Non-EU,1992,8.7973,million tons (kg)
63,OE6,OECD Non-EU,1993,9.0727,million tons (kg)
64,OE6,OECD Non-EU,1994,9.8586,million tons (kg)
65,OE6,OECD Non-EU,1995,10.1337,million tons (kg)
66,OE6,OECD Non-EU,1996,10.7554,million tons (kg)
67,OE6,OECD Non-EU,1997,11.4345,million tons (kg)
68,OE6,OECD Non-EU,1998,11.8311,million tons (kg)
69,OE6,OECD Non-EU,1999,12.589,million tons (kg)
70,OE6,OECD Non-EU,2000,13.1092,million tons (kg)
71,OE6,OECD Non-EU,2001,13.2841,million tons (kg)
72,OE6,OECD Non-EU,2002,13.9813,million tons (kg)
73,OE6,OECD Non-EU,2003,14.4032,million tons (kg)
74,OE6,OECD Non-EU,2004,15.1504,million tons (kg)
75,OE6,OECD Non-EU,2005,15.406,million tons (kg)
76,OE6,OECD Non-EU,2006,16.1939,million tons (kg)
77,OE6,OECD Non-EU,2007,16.9056,million tons (kg)
78,OE6,OECD Non-EU,2008,15.9235,million tons (kg)
79,OE6,OECD Non-EU,2009,16.1405,million tons (kg)
80,OE6,OECD Non-EU,2010,17.2742,million tons (kg)
81,OE6,OECD Non-EU,2011,17.7183,million tons (kg)
82,OE6,OECD Non-EU,2012,18.1252,million tons (kg)
83,OE6,OECD Non-EU,2013,18.6266,million tons (kg)
84,OE6,OECD Non-EU,2014,18.6795,million tons (kg)
85,OE6,OECD Non-EU,2015,19.045,million tons (kg)
86,OE6,OECD Non-EU,2016,19.5695,million tons (kg)
87,OE6,OECD Non-EU,2017,20.3318,million tons (kg)
88,OE6,OECD Non-EU,2018,20.8772,million tons (kg)
89,OE6,OECD Non-EU,2019,21.3707,million tons (kg)
90,OPA,OECD Asia,1990,5.9317,million tons (kg)
91,OPA,OECD Asia,1991,6.1393,million tons (kg)
92,OPA,OECD Asia,1992,6.514,million tons (kg)
93,OPA,OECD Asia,1993,6.7695,million tons (kg)
94,OPA,OECD Asia,1994,7.4129,million tons (kg)
95,OPA,OECD Asia,1995,7.6795,million tons (kg)
96,OPA,OECD Asia,1996,8.2153,million tons (kg)
97,OPA,OECD Asia,1997,8.8041,million tons (kg)
98,OPA,OECD Asia,1998,9.1834,million tons (kg)
99,OPA,OECD Asia,1999,9.8519,million tons (kg)
100,OPA,OECD Asia,2000,10.3442,million tons (kg)
101,OPA,OECD Asia,2001,10.5704,million tons (kg)
102,OPA,OECD Asia,2002,11.2198,million tons (kg)
103,OPA,OECD Asia,2003,11.6578,million tons (kg)
104,OPA,OECD Asia,2004,12.3695,million tons (kg)
105,OPA,OECD Asia,2005,12.6892,million tons (kg)
106,OPA,OECD Asia,2006,13.4573,million tons (kg)
107,OPA,OECD Asia,2007,14.1758,million tons (kg)
108,OPA,OECD Asia,2008,13.4746,million tons (kg)
109,OPA,OECD Asia,2009,13.785,million tons (kg)
110,OPA,OECD Asia,2010,14.8574,million tons (kg)
111,OPA,OECD Asia,2011,15.349,million tons (kg)
112,OPA,OECD Asia,2012,15.8164,million tons (kg)
113,OPA,OECD Asia,2013,16.3751,million tons (kg)
114,OPA,OECD Asia,2014,16.5464,million tons (kg)
115,OPA,OECD Asia,2015,17.0449,million tons (kg)
116,OPA,OECD Asia,2016,17.3639,million tons (kg)
117,OPA,OECD Asia,2017,17.7941,million tons (kg)
118,OPA,OECD Asia,2018,17.954,million tons (kg)
119,OPA,OECD Asia,2019,18.2069,million tons (kg)
120,OCE,OECD Oceania,1990,0.5856,million tons (kg)
121,OCE,OECD Oceania,1991,0.6395,million tons (kg)
122,OCE,OECD Oceania,1992,0.714,million tons (kg)
123,OCE,OECD Oceania,1993,0.7789,million tons (kg)
124,OCE,OECD Oceania,1994,0.8934,million tons (kg)
125,OCE,OECD Oceania,1995,0.9676,million tons (kg)
